step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
182,-0.1000,-0.1000,-0.0006,0.0432,-0.1000,-0.1000,-0.1000,-0.1000,-0.0709,0.0500
183,-0.1000,-0.1000,-0.0033,0.0228,-0.1000,-0.1000,-0.1000,-0.1000,-0.0892,0.0500
184,-0.1000,-0.1000,-0.0064,0.0019,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.0500
185,-0.1000,-0.0980,-0.0100,-0.0196,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.0500
186,-0.1000,-0.0718,-0.0140,-0.0417,-0.1000,-0.1000,-0.0815,-0.1000,-0.1000,0.0500
187,-0.1000,-0.0456,-0.0184,-0.0642,-0.1000,-0.1000,-0.0247,-0.1000,-0.1000,0.0500
188,-0.1000,-0.0195,-0.0233,-0.0873,-0.1000,-0.1000,0.0314,-0.1000,-0.1000,0.0500
189,-0.1000,0.0066,-0.0285,-0.1000,-0.1000,-0.1000,0.0868,-0.1000,-0.1000,0.0500
190,-0.1000,0.0325,-0.0343,-0.1000,-0.1000,-0.1000,0.1414,-0.1000,-0.1000,0.0500
191,-0.1000,0.0584,-0.0404,-0.1000,-0.1000,-0.1000,0.1952,-0.1000,-0.1000,0.0500
192,-0.1000,0.0842,-0.0470,-0.1000,-0.1000,-0.1000,0.2482,-0.1000,-0.1000,0.0500
193,-0.1000,0.1099,-0.0541,-0.1000,-0.1000,-0.1000,0.4011,-0.1000,-0.1000,0.0500
194,-0.1000,0.1355,-0.0616,-0.1000,-0.2000,-0.1000,0.5295,-0.1000,-0.1000,0.0500
195,-0.1000,0.1610,-0.0696,-0.1000,-0.1987,-0.1000,0.6559,-0.1000,-0.1000,0.0500
196,-0.1000,0.1863,-0.0780,-0.1000,-0.1824,-0.1000,0.7801,-0.1000,-0.1000,0.0500
197,-0.1000,0.2115,-0.0869,-0.1000,-0.1665,-0.1000,1.0000,-0.1000,-0.1000,0.0500
198,-0.1000,0.2365,-0.0962,-0.1000,-0.1509,-0.1000,1.0000,-0.1000,-0.1000,0.0500
199,-0.1000,0.2614,-0.1000,-0.1000,-0.1357,-0.1000,1.0000,-0.1000,-0.1000,0.0500
200,-0.1000,0.2861,-0.1000,-0.1000,-0.1208,-0.1000,1.0000,-0.1000,-0.1000,0.0500
201,-0.1000,0.4264,-0.1000,-0.1000,-0.1064,-0.1000,1.0000,-0.1000,-0.1000,0.0500
202,-0.1000,0.4871,-0.1000,-0.1000,-0.0923,-0.1000,1.0000,-0.1000,-0.1000,0.0000
203,-0.1000,0.5472,-0.1000,-0.1000,-0.0785,-0.1000,1.0000,-0.1000,-0.1000,0.0000
204,-0.1000,0.6068,-0.1000,-0.1000,-0.0652,-0.1000,1.0000,-0.1000,-0.1000,0.0000
205,-0.1000,0.6656,-0.1000,-0.1000,0.0478,-0.1000,1.0000,-0.1000,-0.1000,0.0000
206,-0.1000,0.7238,-0.1000,-0.1000,0.0603,-0.1000,1.0000,-0.1000,-0.1000,0.0000
207,-0.1000,0.7813,-0.1000,-0.1000,0.0725,-0.1000,1.0000,-0.1000,-0.1000,0.0000
208,-0.1000,1.0000,-0.1000,-0.1000,0.0842,-0.1000,1.0000,-0.1000,-0.1000,0.0000
209,-0.1000,1.0000,-0.1000,-0.1000,0.0955,-0.1000,1.0000,-0.1000,-0.1000,0.0000
210,-0.1000,1.0000,-0.1000,-0.1000,0.1064,-0.1000,1.0000,-0.1000,-0.2000,0.0000
211,-0.1000,0.7969,-0.1000,-0.1000,0.1169,-0.1000,1.0000,-0.1000,-0.1000,0.0000
212,-0.1000,0.7437,-0.1000,-0.1000,0.1269,-0.1000,1.0000,-0.1000,-0.1000,0.0000
213,-0.1000,0.6915,-0.1000,-0.1000,0.1364,-0.1000,1.0000,-0.1000,-0.1000,0.0000
214,-0.1000,0.6404,-0.1000,-0.1000,0.1455,-0.1000,1.0000,-0.1000,-0.1000,0.0000
215,-0.2000,0.5903,-0.1000,-0.1000,0.1542,-0.1000,1.0000,-0.1000,-0.1000,-0.1000
216,-0.1000,0.5414,-0.1000,-0.1000,0.1624,-0.1000,1.0000,-0.1000,-0.1000,-0.1000
217,-0.1000,0.4937,-0.1000,-0.1000,0.1701,-0.1000,1.0000,-0.1000,-0.1000,0.0000
218,-0.1000,0.4472,-0.1000,-0.1000,0.1724,-0.0654,0.7866,-0.1000,-0.1000,0.0000
219,-0.1000,0.4020,-0.1000,-0.1000,0.1479,-0.0235,0.7583,-0.1000,-0.1000,0.0000
220,-0.1000,0.2833,-0.1000,-0.1000,0.1229,0.0182,0.7281,-0.1000,-0.1000,0.0000
221,-0.1000,0.2663,-0.1000,-0.1000,0.0974,0.0599,0.6961,-0.1000,-0.1000,0.0000
222,-0.1000,0.2499,-0.1000,-0.1000,0.0715,0.1014,0.6622,-0.1000,-0.1000,0.0000
223,-0.1000,0.2341,-0.1000,-0.1000,0.0451,0.1428,0.6265,-0.1000,-0.1000,0.0000
224,-0.1000,0.2189,-0.1000,-0.1000,0.0183,0.1840,0.5888,-0.1000,-0.1000,0.0000
225,-0.1000,0.2044,-0.1000,-0.1000,-0.0090,0.2250,0.5494,-0.1000,-0.1000,0.0000
226,-0.1000,0.1905,-0.1000,-0.1000,-0.0366,0.2659,-0.1000,-0.1000,0.4378,0.0000
227,-0.1000,0.1773,-0.1000,-0.1000,-0.0647,0.4163,-0.1000,-0.1000,0.2582,0.0000
228,-0.1000,0.1648,-0.1000,-0.1000,-0.0932,0.4174,-0.1000,-0.1000,0.2010,0.0000
229,-0.1000,0.1530,-0.1000,-0.1000,-0.1000,0.6179,-0.1000,-0.1000,0.1434,0.0000
230,-0.1000,-0.1000,-0.1000,0.1866,-0.1000,0.7178,-0.1000,-0.1000,0.0855,0.0000
231,-0.1000,-0.1000,-0.1000,0.2273,-0.1000,1.0000,-0.1000,-0.1000,0.0273,0.0000
232,-0.1000,-0.1000,-0.1000,0.2688,-0.1000,1.0000,-0.1000,-0.1000,-0.0311,0.0000
233,-0.1000,-0.1000,-0.1000,0.4272,-0.1000,0.7865,-0.1000,-0.1000,-0.0897,0.0000
234,-0.1000,-0.1000,-0.1000,0.5343,-0.1000,0.6895,-0.1000,-0.1000,-0.1000,0.0000
235,-0.1000,-0.1000,-0.1000,0.6430,-0.1000,0.5932,-0.1000,-0.1000,-0.1000,0.0000
236,-0.1000,-0.1000,-0.1000,0.7526,-0.1000,0.4978,-0.1000,-0.1000,-0.1000,0.0000
237,-0.1000,-0.1000,-0.1000,1.0000,-10.1000,0.4034,-0.1000,-0.1000,-0.1000,0.0000
238,-0.1000,-0.1000,-0.1000,1.0000,-0.2000,0.2639,-0.1000,-0.1000,-0.1000,0.0000
239,-0.1000,-0.1000,-0.1000,0.7099,-0.1000,0.2270,-0.1000,-0.1000,-0.1000,0.0000
240,-0.1000,-0.1000,-0.1000,0.5949,-0.1000,0.1904,-0.1000,-0.1000,-0.1000,0.0000
241,-0.1000,-0.1000,-0.1000,0.4785,-0.1000,0.1543,-0.1000,-0.1000,-0.1000,0.0000
242,-0.1000,-0.1000,-0.1000,0.2846,-0.1000,0.1186,-0.1000,-0.1000,-0.1000,0.0000
243,-0.1000,-0.1000,-0.1000,0.2372,-0.1000,0.0834,-0.1000,-0.1000,-0.1000,0.0000
244,-0.1000,-0.1000,-0.1000,0.1893,-0.1000,0.0488,-0.1000,-0.1000,-0.1000,0.0000
245,-0.1000,-0.1000,-0.1000,0.1409,-0.1000,0.0146,-0.1000,-0.1000,-0.1000,0.0000
246,-0.1000,-0.1000,-0.1000,0.0920,-0.1000,-0.0189,-0.1000,-0.1000,-0.1000,0.0000
